sentimen,tweet
negatif,Lah terus gaji karyawan yang masih belom dibayar oleh pak prabowo mau dibayar pake apa???
netral,"Analis Politik: Soal Ekonomi, Jokowi Kritik Kebijakannya Sendiri  http://dlvr.it/R2ntMmÂ  pic.twitter.com/oWi8lsofF9"
netral,"Hanya di era Pak Jokowi, harga BBM di Papua sama dengan harga di Jawa. #01IndonesiaMaju #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih"
netral,"Kalimat penutup debat terakhir @prabowo @sandiuno ""Tidak akan mengambil gaji serupiah pun dan akan diinfaqkan ke kaum du'afa serta anak yatim,""  #beranidukung02 #17AprilPilihPrabowoSandi"
negatif,Trus yang bayar pajak siapa???!!! Udah dipikirin ngga sama jokowi??
positif,"DENGAN 40JT LEBIH PENGGUNAAN GAME ONLINE. ARTINYA ADA PASAR, ADA KONSUMEN, ADA TRANSAKSI, ADA PULUHAN DEVELOPER GAME YANG BERDIRI, RUBUAN LAPANGAN KERJAADA  PAJAK YANG MASUK. PAJAK YA BUAT APA? BUAT SUBSIDI PERTALITE MOTOR MIO LU! BUAT KJP LU! BUAT KIP LU! NGERTI LU??"
positif,Masukan..harga tolnya disubsidi dulu Pak...yang penting ramai dan banyak yang bisa menikmati
negatif,"Jl tol hanya utk kalangan menengah keatas, menegah kebwh jgnkan lwt tol motor aja gk punya. Dan warung2 di pinggir jln yg bkn tol pd tutup krn sbagian pembelinya lewat tol dan mkn, belanja di rest area. Gmn mau mempercepat pertumbuhan ekonomi."
positif,"Pasangan nomor 01 ini akan terus memperjuangkan nilai Islam sebagai spirit transformasi dan perdamaian di semua bidang terutama pendidikan, dakwah, ekonomi dan kesehatan. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih"
netral,"Buat yang ciwi-ciwi, mau harga skincare turun? Tusuk Prabowo Sandi!"
positif,MASIH RAGUKAH ANDA DENGAN PAS 02   Prabowo-Sandi Kembali Tegaskan Tidak Akan Ambil Gaji Bila Terpilih  RMOL. Pasangan calon presiden dan calon wakil presiden...  https://politik.rmol.co/read/2019/04/13/385982/prabowo-sandi-kembali-tegaskan-tidak-akan-ambil-gaji-bila-terpilihÂ â€¦
netral,Pak Prabowo siap melanjutkan kerja sama ekonomi dengan Arab Saudi.
positif,"Ah dasar EGO aja, gak menghargai wakilnya. Lihat dong Prabowo dan sandi saling melengkapi"
positif,Pembangunan infrastruktur dibangun secara masiv untuk meningkatkan perekonomian bangsa Terima kasih pakde jokowi
netral,Bandara KERTAJATI selesai ditangan JOKOWI sehingga menggerakan ekonomi rakyat. #01IndonesiaMaju #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih
positif,"Negara China sebentar lagi jadi negara adikuasa ekonomi, supaya kita tidak hanya jadi obyek kemajuan ekonomi mereka, kita perlu contoh kiat-kiat dan strategi yang mereka tempuh.   #UASdifitnahKejiDanBrutal"
positif,"Terima kasih pak, kekurangan selama bpk menjabat Insya Allah akan disempurnakan pak @prabowo dan bang @sandiuno di 2019-2024. Krn kedepan negara harus fokus perbaiki ekonomi rakyat dan cicil bayar hutang #UASdifitnahKejiDanBrutal"
negatif,"mobile legend adalah permainan game online pak, pak jokowi ingin merangkul para2 gamers moba online, apakah itu penting dibahas pak, wong kita kekurangan duit aja masih bisa main moba, yang penting itu sembako murah harga pangan murah, bner yg disampaikan bg sandi debat td malam"
negatif,"EH BEGO! LU TAU GA SEKARANG BANYAK PERUSAHAAN FINTECH BISA BELI COIN, DIAMOND DLL.. LU TAU GA KALAU SEKARANG IKLAN LEBIH MILIH MASANG DI APLIKASI MILENIAL BUAT JARING KONSUMEN? LU TAU GA PENDAPATAN NEGARA DARI PAJAK INTERNET LU? LU SEKARANG PERUSAHAAN IT BERLOMBA BIKIN GAMES?"
negatif,"Dengan memprioritaskan perekonomian agraris bukan berarti pemerintah menghambat yg lain bung, tapi ini masalah skala prioritas. Duh gw jadi bolak balik ngomong ini, susah bener pahamnga anda ya"
positif,"Dengan mencoblos pak prabowo dan bang sandi anda telah membantu beramal,karena selama 5tahun beliau akan memberikan gajinnya kepada kaum dhuafa,anak yatim dll yg membutuhkan #2019PrabowoSandiMenang"
netral,"Presiden Joko Widodo (Jokowi) mengatakan, terkendalinya harga-harga komoditas pangan inti bisa dilihat dari tingkat inflasi. #2019JokowiKyaiMaruf #JokowiUntukIndonesiaMakmur #JalanSehatSarungan #PersijaDay  https://twitter.com/tag_nusantara/status/1058886381265608704/photo/1 pic.twitter.com/7oeqsQ40qbÂ "
positif,Di era pak jokowi kemjuan teknologi mampu dimanfaatkan terutama untuk pengembangan ekonomi kreatif  #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih
netral,"Presiden @jokowi dan Raja Salman menggelar pertemuan bilateral di Istana Pribadi Raja, Minggu sore, 14 April 2019. Dalam pertemuan yang berlangsung selepas jamuan santap siang itu, Presiden Jokowi dan Raja Salman sepakat akan meningkatkan kerja sama di bidang ekonomi.  pic.twitter.com/rqEjH07fBZ"
positif,"Siapapun pilihan pak kiai saya ttp menghargai....walau kita berbeda pak kiaiðŸ™ðŸ™,bimillaahirraohmaanirrohim dengan mengikuti kata hati nurani saya ttp JokowiðŸ˜ŠðŸ˜ŠðŸ˜Š,yah Hati saya lebih besar ke JokowiðŸ˜Š"
positif,"Bersedekah yuk!!!! Dengan cara mencoblos #02 @prabowo dan @sandiuno sama aja anda sudah beramal, karena gaji mereka akan diberikan kepada anak yatim dan dhuafa. Bersedekah yuk!!! #saveUAS"
netral,Prabowo Sebut Ekonomi Indonesia Era Jokowi Salah Arah  https://www.jawapos.com/ekonomi/13/04/2019/prabowo-sebut-ekonomi-indonesia-era-jokowi-salah-arah/Â â€¦
negatif,Artinya Anda Sudah Gagal pak. 5 Tahun Ngapain aja kalo stagnan di 5%.. kenapa pas debat malah bahas mobile legend bukan ekonomi Indonesia ...!? #UASdifitnahKejiDanBrutal
netral,"Hal ini terlihat sekali dalam langkah pemerintahan Presiden Jokowi melakukan pemberdayaan ekonomi keumatan melalui bank wakaf mikro,"" kata Ketum Arus Baru Muslimah, Munifah Syanwani. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih"
netral,Sederet menteri kabinet kerja Presiden @jokowi dan Wakil Presiden Jusuf Kalla  di bidang ekonomi meraih penghargaan internasional dalam kurun waktu kurang dari empat tahun kabinet berjalan.Â  #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih pic.twitter.com/AnAglLw6R8
netral,"Pak @jokowi, mohon bilang ke Pangeran Muhammad bin Salman, tolong segera direalisasikan beli @ManUtd nya... Biar nggak kesusahan bayar gaji sama beli2 pemainnya.. https://twitter.com/detikcom/status/1117297737266008069Â â€¦"
positif,"Hahahaha, Tema Debat adalah Perekonomian bung, elo pikir segi pertanian dan jual beli sembako nggak ada hubungannya sama kondisi perekonomian? Negara kita masih disebut negara agraris, paham nggak maksudnya? Cari tahu dulu maksud dari negara agraris, lalu lanjut debat dg saya ya"
negatif,"Kalo prabowo terpilih , ya benar ekonomi makin baik. Karna infrastruktur udah dibangun besar2an sama jokowi. Jadii dia tinggal duduk manis aja..ðŸ¤£ðŸ¤£"
positif,"Dengan mencoblos @prabowo @sandiuno ,anda telah ikut bersodaqoh selama 5 tahun, karena gaji beliau diinfaqkan untuk duafa, anak yatim dll  Insya'allah pic.twitter.com/tnvSQENBem"
netral,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Salah satu keberhasilan @jokowi adalah membuat BBM menjadi satu harga di di 25 titik wilayah dari target 54 titik wilayah di seluruh Indonesia.  https://bit.ly/2SV4EUfÂ 
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Beberapa penghargaan yg dianugerahkan kepadanya, jadi bukti bahwa @jokowi merupakan sosok pemimpin yg diakui integritasnya."
netral,"Dalam 50 hari setelah dilantik,Prabowo Sandi akan menghapus pajak.  Dalam 60 hari Prabowo Sandi akan memberikan pelayanan kesehatan dan pendidikan gratis.  Dalam 70 hari Prabowo Sandi akan menurunkan harga-harga...  https://www.facebook.com/100000091430302/posts/2424269370919420/Â â€¦"
netral,"Disaksikan Sandiwara, @jokowi Dapat Penghargaan Tokoh Pemerataan Pembangunan #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦"
negatif,sekali2 bahas jg dong masalah ekonomi .. jgn tiap detik infrastuktur terus jadi BORING nich ..
netral,Jalannya Debat: Ini Jawaban Jokowi Kepada Sandiaga Uno Soal â€˜Ibu-ibu yang mengeluh harga-harga naikâ€™  https://racikan.id/2019/04/jalannya-debat-ini-jawaban-jokowi-kepada-sandiaga-uno-soal-ibu-ibu-yang-mengeluh-harga-harga-naik/Â â€¦
netral,"Jika Terpilih, Prabowo-Sandi Takkan Ambil Gaji Negara, Segini Gaji Presiden dan Wapres  http://manado.tribunnews.com/2019/04/14/jika-terpilih-prabowo-sandi-takkan-ambil-gaji-negara-segini-gaji-presiden-dan-wapresÂ â€¦ lewat @Tribun_Manado"
negatif,"Katanya anti china kok malah mau menggandeng cina, padahal devisit neraca perdagangan dipengatuhi dr ekonomi dunia, kok judilnya gara2 jokowi, dasar kampret"
positif,"Jelas Prabowo-Sandi dong. Paslon 02 pemaparan visi misi nya lebih jelas dan pro rakyat. Hubungan ke 2 nyapun sangat harmonis, Dwi Tunggal. Dan ke 2 nya, akan menyumbangkan gajinya. Maklum ke 2 nya sama2 tajir.  #DebatPilpres2019 #17AprilTusukPrabowoSandi"
negatif,Kalau pernyataan bahwa @prabowo  dan @sandiuno  tdk akan ambil gaji di beritakan juga lah #UASdifitnahKejiDanBrutal https://twitter.com/Metro_TV/status/1117108862450978816Â â€¦
negatif,Ngajarin ekonomi mikro sama makro ke pengusaha top kaya pak prabowo dan bang sandi ibarat ngajarin ikan berenang... Padahal udah jago #UASdifitnahKejiDanBrutal
positif,Bukan maksud sy sombong. Sy bisa menghidupi keluarga tanpa kartu2 ini.  Apakah pabowo-sandi melanjutkan? Bisa ya bisa tidak. Mereka hanya janji.  Sy pilih @jokowi bukan untuk sy tapi krn sy harus MEMASTIKAN saudara2 sy yg ekonominya kurang beruntung bisa terbantu dg kartu2 ini.  pic.twitter.com/pfc5zOriur
negatif,Yg suka bilang sebentar lagi ekonomi meroket siapa pak @jokowi ??? Katanya sih capres 2014 itu.. #UASdifitnahKejiDanBrutal
positif,"Aku memang setuju macro ekonominya jokowi jago bgt. Meski mungkin itu memang rancangan yg sudah ditulis sm ahli ahli yg merancang pembangunan indonesia ya. Tapi, jokowi memang memahami dg baik  https://twitter.com/snpftk/status/1117079444647059456Â â€¦"
positif,"Sesuatu yang benar, belum tentu baik. Sesuatu yang bagus, belum tentu berharga. jokowi"
negatif,Percuma infrastruktur bagus kalo roda perekonomian yg jalan cuman nguntungin asing ama aseng   Saya pilih pemimpin yg pro rakyat pribumi aja deh yaaa #GantiPresiden
negatif,Ngakunya... ya ngakunya... Prabowo perhatian pada rakyat kecil. Ini baru HOAX yang sebenarnya. Karyawannya di PT Kiani Kertas Nusantara terkatung-katung tanpa gaji dan THR. Selesaikan dulu masalahmu Bowok... sebelum menyelesaian masalah rakyat kecil.  https://www.google.com/amp/s/m.bisnis.com/amp/read/20190226/15/893349/-pt-kertas-nusantara-tak-mampu-gaji-1.400-karyawannyaÂ â€¦
negatif,"Amin.... Pelajaran berharga.. Fitnah kejam sepwrti ini telah di berikan kepada HRS tahun lalu.. Begitu mudah kan, rezim ini acak2 Ulama dan umat Islam... Siapa pelakunya?   Pelakunya Tdk jauh wereng coklat dipaksa jagal talangsari."
positif,"Trans Sumatra akan menunjang pertumbuhan ekonomi di Sumatera dan membantu pemerataan sosial di Sumatera. Logistik, bahan bakar, dan keperluan lain akan lebih mudah dikirimkan karena sudah ada jalur yang memadai. Jokowi mewujudkan kemajuan bagi Pulau Sumatera lewat Trans Sumatra"
netral,"Di Debat Terakhir Capres, Prabowo Sebut Ekonomi RI Salah Arah  http://dlvr.it/R2npGqÂ  pic.twitter.com/6adkV9qpGq"
positif,"Jokowi, udahdeh anda jadi pelawak aja. Saya peratiin kayaknya cocok  Daripada ngurusin negara, gaji seorang pelawak bisa lebih gede dari gaji presiden looo ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚"
positif,"Hahahaha, sebuah negara memiliki skala prioritas bang, mana yg bernilai keekonomian secara makro mana yg nano atau piko. Saat ini kita sangat tergantung pada impor, baik bahan baku, pangan, atau elektronik. Itu dulu yg dikejar. Pertumbujan ekonomi stagnan..."
positif,Debat terakhir ya allah pamungkas bangett ya...prabowo sandi bilang klo terpilih menjadi presiden dan wakil presiden dia akan menyumbangkan seluruh gajinya tuk rakyat yg tidak mampu...masya allah mulia banget pak prabowo dan bang sandi...
positif,semoga dengan adanya tol trans sumatra akan membuat perekonomian di indonesia makin lancar dan maju!
negatif,Katanya Prabowo gak mau terima gaji... pasti ini exit plan untuk tidak memberi gaji karyawan PT Kiani Kertas yang sudah 4 tahun tidak  menerima gaji. Katanya perhatian pada rakyat kecil... karyawannya sendiri tidak digaji. MUNAFIKUN!!!  https://m.cnnindonesia.com/ekonomi/20180614211233-92-306178/karyawan-kertas-nusantara-tagih-gaji-dan-thr-mandek-4-tahunÂ â€¦
positif,"Saya tidak butuh jl tol, yg saya butuhkan hasil pertanian harga jual ditingkatkan."
netral,"Consol games tu hardware bung, esport itu pemanfaatannya. Lah memang nggak ada dampak keekonomiannya secara masif, lah terus kenapa pak @jokowi sepertinya bangga banget dengan esport ini? Neh dampaknya esports..  pic.twitter.com/IxU0nBrRPU"
positif,Mau gajinya dibayar? Tusuk Prabowo Sandi Mau Verpool juara liga? Tusuk Prabowo Sandi ðŸ˜
negatif,Kenapa ekonominya ? 7% bukannya target ? kalau idola elo bicara 2 digit itu gimana ?  Terbukti kan ane bilang tegas ya seperti apa
positif,"Pak,  mahal harganya.  Gabisa diturunin ya?  Dari Aku, si missqueen yang pengen lewat jalan tol pake mobil pribadi.  Jangan bilang harus kerja dong biar supaya ga missqueen. Ibarat nyari kerja itu kaya lagi nyari jodoh. Ga gampang tcoy"
netral,Jokowi: RI Akan Masuk 4 Besar Kekuatan Ekonomi pada 2045  https://bisnis.tempo.co/read/1195412/jokowi-ri-akan-masuk-4-besar-kekuatan-ekonomi-pada-2045?utm_source=Digital%20Marketing&utm_medium=Facebook&utm_campaign=dlvritÂ â€¦
netral,"Prabowo - Sandi itu pengusaha, mereka tdk digaji tapi biasa menggaji ðŸ˜ƒ ."
netral,"Tolong lihat dampak buruknya bing, mana yg banyak manfaat dan mana yg banyak mudharatnya. Pahami dulu semuanya. Jangan membenarkan segala sesuatu hanya dengan segi keekonomiannya saja. pic.twitter.com/rUF9XQBxMx"
positif,Ucapan Pak @prabowo dan Bang @sandiuno yang akan menyumbangkan seluruh gajinya jika terpilih semakin memantapkan kami untuk  menentukan pilihan kpd #PrabowoSandi #TusukPrabowoSandi #UASdifitnahKejiDanBrutal
netral,Prabowo-Sandi Tak Akan Ambil Gaji Sepeser pun Jika Terpilih   https://kumparan.com/@kumparannews/prabowo-sandi-tak-akan-ambil-gaji-sepeser-pun-jika-terpilih-1qsh5p8XjqeÂ â€¦ #UASdifitnahKejiDanBrutal
netral,mkin yg d maksud kiani kertas ga mampu bayar gaji buruhz kali...?ato kiani kertas g produksi kertas tp produksi utang k karyawabx
positif,"Capres kaleng2 selalu hoax, harga2 melambung Faktanya harga stabil, inflasi normal dan grafik menurun. Mengelola OkE Oce gagal mau ngomongin ekonomi makro!? Di libas lu ma @jokowi  Akhirnya sikaleng2 itu bilang..  #bukansalahbapak @NasrRudi pic.twitter.com/5k5LyrNGwn"
negatif,"Eh bung, tolong bedakan startup sebagai monetizing dan hobi yg di monetize, startup jelas ada nilai keekonomian yg besar, tapi hobi? Hanya segelintir orang yg melakukannya, dan bukan kebutuhan. Ya Allah masa harus saya jelaskan seh bedanya panjang lebar bung..."
negatif,"Mas ari narang, prabowo sandi itu horang kayah. Yang tiap tahun setor pajak hingga ratusan juta. Emang junjungan situ. Pinternya ngambil duit haji saking kebanyakan utang"
netral,"Ada sebagian kader PD yg gak terima tp disisi lain prabowo bilang ekonomi indo rusak krn presiden sebelumnya, tp anda bilang ini ciri koalisi berkelas, kayaknya anda lg menghibur diri"
netral,WALAU BANYAK DIBANGUN JALAN NEGARA & JALAN TOL. HARUS DISADARI BAHWA INDONESIA MASIH KALAH JAUH DENGAN MALAYSIA UNTUK ITU PEMBANGUNAN SECARA BESAR2AN HARUS TERUS DILANJUTKAN SAMPAI MELEBIHI MALAYSIA POTENSI INDONESIA LUAR BIASA KALO BERHASIL PASTI MENJADI RAKSASA EKONOMI DUNIA
negatif,klo ada yg percya gaji @prabowo dan @sandiuno akn dsumbangkan jika jd presiden bearti = FIX orang dungu
positif,"maju terus Sumatra semoga dgn adanya jalan Tol ini pertumbuhan ekonomi semakin banyakkkkk, aamiinn"
positif,"Bentar dulu, awalnya narasi elo kan pembangunan terutama tol, kok lari sekarang bahas ekonomi dan temennya, ayo belajar konsisten tema yg elo singgung wkwkwkwk  #17AprilCoblosJokowiAmin #17AprilCoblosBajuPutih"
netral,"Bahkan TOL juga cmn melanjutkan, jd bukan prestasi  Ekonomi gimana? Rupiah? Devisa? Inflasi?  Itu lebih PENTING dari sebuah proyek tanpa platform???  Bandara Kertajati Sepi, Berapa Uang yang 'Dibakar'? http://Tirto.IDÂ "
positif,Setuju... Ga ada harga dirinya lagi partai Demokrat...!! Jangan hanya memikirkan karena ada bu Mega di sisi Jokowi pak.. @SBYudhoyono Kehidupan dan masa depan bangsa lebih penting daripada emosi seseorang !
positif,"tidak semua nitijen paham ekonomi makro, jadi pengennya yg instan, yg langsung dirasakan tiap2 individu, betapa beratnya jadi presiden indonesia sudah mbangun ini itu, mikir ini itu, masih saja dihujat entah ganti presiden atau tidak, saya rasa nitijen emang cuma bisa ngehujat"
netral,"Bangsa yg besar, Bangsa yg menghargai Budayanya... Itulah Indonesia...Nusantara ku... â¤ï¸"
negatif,Dampaknya ekonominya gimana? 7%? Otak mana otak ðŸ˜‚ plonga plongo doang si
negatif,"Yaa krn memang di mata @prabowo, @SBYudhoyono gak dianggap berharga..  Ayoo pak.. tempeleng balik donkk.."
netral,Pertama kalinya di Indonesia baru di era kepemimpinan Jokowi harga BBM merata di seluruh Indonesia. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih
positif,"Dengan mencoblos PROBOWO SANDI anda ikut beramal. Karena selama 5 tahun,  gaji Prabowo sandi  akan di sumbangkan ke fakir miskin,kaum duafa,dll"
positif,Kebijakan Jokowi untuk BBM satu harga merupakan bentuk nyata keadilan sosial bagi rakyat Indonesia. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih
netral,Dewi Dan Dedi Jadi Andalan Pemerataan Ekonomi Jokowi Kedepan 
netral,Komitmen Prabowo-Sandi Tak Akan Ambil Gaji Serupiah Pun Jika Terpilih  http://dlvr.it/R2lf3yÂ 
positif,"Ada yg mencoba menarik simpati dgn cara menjadi korban hacker, agar di kasihani dan didukung.. kami tetap menduking bapak @jokowi yg hasil kerja nyata nya sdh terbukti bukan hanya janji ini murah, itu murah, gak ambil gaji lah Ini 2019 bung, bukan jaman orba. #CoblosPutihJokowi"
netral,"Gara-gara ketimpangan ekonomi, Prabowo Salahkan Para Presiden Sebelum Jokowi. #01JOKOWIAMIN #JokowiMenangTotalDebat @JKFC23456789 @Paltiwest @AlvinoLulu @katerinaKwari https://nasional.kompas.com/read/2019/04/13/21502121/saat-prabowo-salahkan-para-presiden-sebelum-jokowi-soal-perekonomian-negaraÂ â€¦"
netral,#PopulerB1 10: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi  http://brt.st/6b4KÂ 
netral,Ini yg katanya ahli ekonomi klrg itu ya ? Cc @tvOneNews @KompasTV @TRANS7  ..
positif,Ini yang ditanyakan jokowi Katanya ekonomi digital  Alhamdullilah jawaban pak prabowo mantap betul   http://sains.kompas.com/read/2018/06/19/192900123/who-resmi-tetapkan-kecanduan-game-sebagai-gangguan-mental?utm_source=WhatsappÂ â€¦
netral,"Soal Ekonomi, Prabowo: Kita Salah Jalan "
negatif,"Yang tanya yang bloon , pertanyaan jebakan. Ekonomi digital kok mobile legend  Alhamdullilah prabowo nggak terjebak.  https://twitter.com/Stevaniehuangg/status/1117271858141786112Â â€¦"
positif,kita ikut sodaqoh... dengan ikhlas memilih @prabowo @sandiuno karena gaji mereka dipakai utk menyantuni anak yatim dan faqir miskin... sodaqoh vote bernilai sodaqoh
positif,"Moga apa yg dicontohkan oleh Ustadz Abdul Shomad yg minta dk diundang ke Istana, & tdk diberi jabatan apapun jk Prabowo-Sandi mjd Presiden, & Prabowo-Sandi tdk akan mengambil gaji nya, akan banyak muncul orang2 ikhlas yg berjuang utk Indonesia Adil dan Makmur  https://twitter.com/SurYosodipuro_/status/1117424472686874630Â â€¦"
netral,"â€œUang sebesar itu dapat digunakan untuk membangun sekolah, membangun rumah sakit, meningkatkan kesejahteraaan rakyat melalui program ekonomi produktif dan perlindungan sosial, serta membangun lebih banyak lagi infrastruktur,"" tegas Jokowi. #PilihOrangBaik #PilihJelasIslamnya"
negatif,Pecatan gak ngerti ekonomi ðŸ˜‚ðŸ˜‚ðŸ˜‚ Ngerti nya di sawer lu wo pic.twitter.com/ztf4KwJTgj
negatif,Gak butuh gaji..disawer kok diterima...Gaji katanya bisa meningkatkan kinerja dan tanggung jawab.
positif,"Saya simpati pd kedua Paslon PS meski blm pernah bcr pjg jk ketemu. Namun, jujur sj, yg sgt sy khawatirkan adlh jk beliau ini melanjutkan Sistem Ekonomi Kolonial yg mengeksploitasi rakyat banyak & kekayaan bangsa & anak cucu krn blm paham dg EKONOMI BERKEADILANnya PANCASILA."
negatif,ORA SUDI PILIH JOKOWI LAGI ..KAPOK DAN NEG ..2014 PILIH BERHARAP JANJI  JANJINYA SESUAI OMONGANNYA TAPI REALITANYA BIKIN KACAU BALAU EKONOMI  NEGERI INI ... 2019 KELUARGA BESAR KAMI SEPAKAT PILIH 02 PRABOWO SANDI  UNTUK PERUBAHAN DAN HILANGNYA KEDHOLIMAN DAN KETIDAKADILAN  https://twitter.com/geloraco/status/1117340875229556737Â â€¦
positif,"ASN dr zaman soeharto sampai sekarang jiwanya masih kalau ada uang urusan lancar dr dulu perekrutan ASN salah, ini yg mau dibenahi jokowi bkn asal menaikkan gaji dan mengangkat honorer sprti jnji prabowo lalu ektp mbak cepat jadi"
positif,"Kami titipkan amanah kami kepadamu bang, tetaplah perjuangkan ekonomi kerakyatan"
negatif,Apakah jessnolimit itu seorang negarawan? Apa urusannya game dgn kesejahteraan rakyat? Ini yg jadi tema soal ekonomi jelas berdasarkan ekonomi negara yg mengurus kepentingan umum kepentingan pokok masyarakat bukan games
netral,"Pasca dilantik menjadi Presiden, Joko Widodo (Jokowi) tidak membuang waktu. Dengan agenda utama reformasi ekonomi, konektivitas antar wilayah dan produktivitas #pilihorangbaik"
netral,Capres #01 @jokowi: Nasabah usaha mikro di pesantren hampir 90 persen adalah wanita. Kami meyakini program kita bisa memberikan kemandirian bagi ekonomi keluarga.  #DebatPilpres2019 pic.twitter.com/f5XAZfXLGR
positif,"mahal ini! kelassss! masyaallah.... ""BILA TERPILIH PRABOWO-SANDI JANJI TAK AMBIL GAJI"" #Catatan https://twitter.com/RanupsProSandi/status/1117414932142628864Â â€¦"
netral,"Apa yang akan bapak Prabowo lakukan dalam rangka pengembangan ekonomi digital, dalam hal ini pengembangan E-sport, Mobile Legend ke depan,"
negatif,.... Sangat aneh dan membingungkan kalau ada LetJen Pecatan yg seumur2 cuma di Militer tdk pernah jadi Menteri pun Tetapi Berkali2 Mengatakan dari DULU Ekonomi Salah Arah.... Pertanyaannya Salah ArahNya Dimana...??  Dan Solusinya Apa...??   Betul2 Ngawur.
netral,"Pemerintah Jokowi begitu bersemangat untuk memastikan berjalannya pembangkit listrik #PLTUCilacap demi memasok aliran listrik untuk rumah tangga, industri dan ekonomi Indonesia lebih baik. #JokowiMembangun #2019PilihJokowi #JokowiOrangBaik #JokowiLagi pic.twitter.com/qBCVOeHVHG"
negatif,"Tampangnya pengangguran gitu. mental pak ogah.. org dungu kaya gitu paling gampang di bodohin, dijanjiin hidup senang jika prabowo menang udh pasti harga mati. Emang jika wowo menang hidupnya bakal enak.. ngimpi..!"
netral,#JokowiMenangTotalDebat 3 kartu Jokowi jadi jurus jitu program untuk kesejahteraan dan peningkatan ekonomi Indonesia #01ndonesiaMaju
negatif,"Nah kan, buanyak beeng yg nyinyirin ttg janji Pak @prabowo dan Bang @sandiuno gak akan ambil gaji. Miris liat kelakuan orang2 yg jempolnya loncer kek gini. Gak tau ya, nyinyirin orang shodaqoh itu ciri2 munafiqun? Lihat At Tawbah : 79  #UASdifitnahKejiDanBrutal"
negatif,Inilah kelakuan para jongos2nya si @jokowi terus menebar kebencian sehingga akhirnya kini mayoritas rakyat dmn2 menginginkan ganti presiden.. dan itu harga mati !! Mo curang silahkan berarti siap2 di gulingkan !!  #PeoplePower #Chaos
netral,Rizal Ramli: Ekonomi Indonesia Tumbuh 8 Persen Kalau Prabowo Terpilih  https://m.kumparan.com/@kumparanbisnis/rizal-ramli-ekonomi-indonesia-tumbuh-8-persen-kalau-prabowo-terpilih-1qstkGylUX7?utm_medium=post&utm_source=Facebook&utm_campaign=intÂ â€¦
positif,"Insyaallah sudah paham Mbah. Maksud saya, apakah perlu kita menimbang ulang NKRI yg oleh banyak orang dilabeli harga mati. Yg padahal sejatinya sudah diperkosa berkali kali. Sedangkan output harga mati tersebut adalah dikebirinya berbagai landasan fundamental negara ini. ðŸ™ðŸ™ðŸ™"
positif,"Setuju,,,  Tp tweet anda itu ga pantas dgn kata"" seperti itu. Apa perkataan anda itu benar??  Kalau salah ,anda bs kena tuntut...  Saling menghargai,,sebaiknya anda pakai sopan santun dlm berbicara"
positif,"Pak Ari, saya percaya Pak Prabowo dan Pak Sandiaga ga akan ngambil gaji, toh gajinya cuman 70 juta rupiah per bulan, yang notabene cuman recehan bagi mereka.  Kalau hanya diiming-imingi hal seperti itu aja ga bakalan bikin saya goyah dan berubah haluan ke kubu 02."
negatif,Karena otakmu... Gak bisa nalar dengan sehat.. Ya omongmu ngawur begini..   Emang ketimpangan ekonomi cuma akibat yg ditimbulkan 5 tahun....
negatif,"Nah sekarang saya mau tanya?, apa ASN seperti itu yg mau dinaikin prabowo gaji nya, dan Honorer seperti itu yg mau dijadiin ASN...serius kamu gak sakit hati ma janji prabowo gitu"
positif,Apalagi utk ikut pak @prabowo  dan bang @sandiuno  tdk mengambil gajinyaðŸ˜Ž #UASdifitnahKejiDanBrutal https://twitter.com/geloraco/status/1117396723255562240Â â€¦
positif,lanjutkan 2 periode pak.or yg gk suka dgn pmbngunan infrastruktur itu gak paham tentang variabel pertumbuhan ekonomi
netral,"Tapi kan tetep dikoalisi prabowo, masa gak punya harga diri?"
netral,Barisan Sakit Hati Jokowi Merapat ke Prabowo hingga Pengamat Tampik Pertumbuhan Ekonomi RI Stagnan  http://akurat.co/ekonomi/id-590944-read-barisan-sakit-hati-jokowi-merapat-ke-prabowo-hingga-pengamat-tampik-pertumbuhan-ekonomi-ri-stagnanÂ â€¦
netral,CEK FAKTA: Jokowi Bangun Ekonomi RI Secara Indonesia-sentris   http://akurat.co/ekonomi/id-590866-read-cek-fakta-jokowi-bangun-ekonomi-ri-secara-indonesiasentrisÂ â€¦
