sentimen,tweet,clean_tweet,clean_tweet_sentence
negatif,Kerjanya jokowi Bbm naik Listrik naik Bpjs defisit Hutang membengkak Harga sawit anjlok Harga karet anjolk Petani garam menjerit Semua susah... Waktunya ganti presiden  https://www.facebook.com/100007503303773/posts/2276857425907679/Â â€¦,"['kerja', 'jokowi', 'bbm', 'naik', 'listrik', 'naik', 'bpjs', 'defisit', 'hutang', 'bengkak', 'harga', 'sawit', 'anjlok', 'harga', 'karet', 'anjolk', 'tani', 'garam', 'jerit', 'semua', 'susah', 'waktu', 'ganti', 'presiden']",kerja jokowi bbm naik listrik naik bpjs defisit hutang bengkak harga sawit anjlok harga karet anjolk tani garam jerit semua susah waktu ganti presiden
positif,"dari data lu aja keliatan kan? di zaman jokowi cuma 2,6% tapi infrastruktur nambah dimana2..dana desa triliunan sehingga desa bergerak ekonominya..gila keren emang Indonesia di zaman Jokowi..lebih keren lagi pastinya di periode ke 2 ðŸ˜ŽðŸ˜ŽðŸ˜ŽðŸ˜Ž","['data', 'kamu', 'lihat', 'kan', 'zaman', 'jokowi', 'cuma', '26', 'infrastruktur', 'tambah', 'dimana2', 'dana', 'desa', 'triliun', 'desa', 'gerak', 'ekonomi', 'gila', 'keren', 'memang', 'indonesia', 'zaman', 'jokowi', 'lebih', 'keren', 'pasti', 'periode', '2']",data kamu lihat kan zaman jokowi cuma 26 infrastruktur tambah dimana2 dana desa triliun desa gerak ekonomi gila keren memang indonesia zaman jokowi lebih keren pasti periode 2
positif,"Maka dari itu jangan Sampai Memilih Mereka,Entar KEKAYAAN ALAM NUSANTARA:Emas,Migas,Tanah & UANG KAS NEGARA HABIS MASUK KE BANK2 LUAR NEGERI,Mereka Sudah Rencana Tidak Mau terima GAJI Presiden,terlalu Sedikit Buat @prabowo & @sandiuno Mereka Kelas KAKAP,ikan Teri utk bawahan2 aja https://twitter.com/triwul82/status/1117117619440476161Â â€¦","['jangan', 'pilih', 'merekaentar', 'kaya', 'alam', 'nusantaraemasmigastanah', 'uang', 'kas', 'negara', 'habis', 'masuk', 'bank2', 'luar', 'negerimereka', 'rencana', 'tidak', 'mau', 'terima', 'gaji', 'presidenterlalu', 'sedikit', 'buat', 'prabowo', 'sandiuno', 'kelas', 'kakapikan', 'teri', 'bawahan2']",jangan pilih merekaentar kaya alam nusantaraemasmigastanah uang kas negara habis masuk bank2 luar negerimereka rencana tidak mau terima gaji presidenterlalu sedikit buat prabowo sandiuno kelas kakapikan teri bawahan2
netral,"Jangan cuma bisa sebut pertumbuhan  ekonomi saat rezim SBY 6%, Jokowi 5%, coba diliat trennya sejak 2004 sd 2014. Grafiknya turun terus sampai dibalikkan Jokowi th 2016. Cek juga inflasi masa SBY vs Jokowi.","['jangan', 'cuma', 'sebut', 'tumbuh', 'ekonomi', 'rezim', 'surabaya', '6', 'jokowi', '5', 'coba', 'lihat', 'tren', 'sejak', '2004', 'sd', '2014', 'grafik', 'turun', 'terus', 'balik', 'jokowi', 'tahu', '2016', 'cek', 'inflasi', 'masa', 'surabaya', 'vs', 'jokowi']",jangan cuma sebut tumbuh ekonomi rezim surabaya 6 jokowi 5 coba lihat tren sejak 2004 sd 2014 grafik turun terus balik jokowi tahu 2016 cek inflasi masa surabaya vs jokowi
negatif,Pemimpin terbaik kok ekonominya gak sesuai goal!  Jangan berlebihan,"['pimpin', 'baik', 'kok', 'ekonomi', 'tidak', 'sesuai', 'goal', 'jangan', 'lebih']",pimpin baik kok ekonomi tidak sesuai goal jangan lebih
netral,"Coba lu ngmng gini waktu jaman Lulung dan M.Topik ðŸ˜‚ðŸ˜‚  btw, fungsi DPRD itu mitra dlm bidang legislatif tp jg bs jd pengawas gubernur dlm menjalankan anggaran. Gw sbg pembayar pajak lbh seneng anggota DPRD yg garang kok...ðŸ˜‹","['coba', 'kamu', 'bicara', 'begini', 'waktu', 'jaman', 'lulung', 'sama', 'topik', 'ngomong-ngomong', 'fungsi', 'dprd', 'mitra', 'bidang', 'legislatif', 'jadi', 'awas', 'gubernur', 'jalan', 'anggar', 'bayar', 'pajak', 'lebih', 'senang', 'anggota', 'dprd', 'garang', 'kok']",coba kamu bicara begini waktu jaman lulung sama topik ngomong-ngomong fungsi dprd mitra bidang legislatif jadi awas gubernur jalan anggar bayar pajak lebih senang anggota dprd garang kok
positif,Punya presiden yang sangat menghargai istrinya  #TerimaKasihIstriku @Kiyai_MarufAmin @jokowi @addiems pic.twitter.com/guFtY2Q8Tp,"['punya', 'presiden', 'sangat', 'harga', 'istri', 'kiyaimarufamin', 'jokowi', 'addiems']",punya presiden sangat harga istri kiyaimarufamin jokowi addiems
positif,"Semoga jokowers yg membaca ini mendapat hidayah Allah SWT  Jika Terpilih, Prabowo-Sandiaga Janji Tak Ambil Gaji  http://detik.id/64sS5rÂ ","['moga', 'jokowers', 'baca', 'dapat', 'hidayah', 'allah', 'swt', 'pilih', 'prabowosandiaga', 'janji', 'tidak', 'ambil', 'gaji']",moga jokowers baca dapat hidayah allah swt pilih prabowosandiaga janji tidak ambil gaji
netral,"Lagi beli lalapan  AbangÂ² lalapan : nanti kalo yg jadi presiden pak Jokowi lalapannya ngga naik, kalo presidennya Prabowo harganya naik  Aku (dalem hati) :: waduh frontal gini :v   Tapi gapapa lah semua orang berhak ikut pesta demokrasi negeri ini   Aku pengamat ae wes :v","['beli', 'lalap', 'abang', 'lalap', 'kalau', 'jadi', 'presiden', 'pak', 'jokowi', 'lalap', 'tidak', 'naik', 'kalau', 'presiden', 'prabowo', 'harga', 'naik', 'hati', 'aduh', 'frontal', 'begini', 'v', 'tidak', 'apa', 'lah', 'semua', 'orang', 'hak', 'ikut', 'pesta', 'demokrasi', 'negeri', 'amat', 'wes', 'v']",beli lalap abang lalap kalau jadi presiden pak jokowi lalap tidak naik kalau presiden prabowo harga naik hati aduh frontal begini v tidak apa lah semua orang hak ikut pesta demokrasi negeri amat wes v
netral,"Total dampak dari Asian Games 2018 berkontribusi langsung terhadap Produk Domestik Bruto (PDB) negara dan pertumbuhan ekonomi Indonesia. Jokowi hebat, Indonesia maju!","['total', 'dampak', 'asian', 'games', '2018', 'kontribusi', 'langsung', 'produk', 'domestik', 'bruto', 'pdb', 'negara', 'tumbuh', 'ekonomi', 'indonesia', 'jokowi', 'hebat', 'indonesia', 'maju']",total dampak asian games 2018 kontribusi langsung produk domestik bruto pdb negara tumbuh ekonomi indonesia jokowi hebat indonesia maju
netral,"Nilai ekonomi seperti peningkatan pariwisata, peningkatan kesempatan kerja, peningkatan kesempatan usaha, promosi kota penyelenggaraan, dan penciptaan nilai tambah ekonomi juga diraih negara sebagi penyelenggara Asian Games 2018. Jokowi hebat! Jokowi sekali lagi!","['nilai', 'ekonomi', 'tingkat', 'pariwisata', 'tingkat', 'sempat', 'kerja', 'tingkat', 'sempat', 'usaha', 'promosi', 'kota', 'selenggara', 'cipta', 'nilai', 'tambah', 'ekonomi', 'raih', 'negara', 'bagi', 'selenggara', 'asian', 'games', '2018', 'jokowi', 'hebat', 'jokowi', 'sekali']",nilai ekonomi tingkat pariwisata tingkat sempat kerja tingkat sempat usaha promosi kota selenggara cipta nilai tambah ekonomi raih negara bagi selenggara asian games 2018 jokowi hebat jokowi sekali
positif,Paguyuban Suami-Suami Gaji Paspasan mengucapkan #TerimaKasihIstriku Yang masih belum jelas keberadaannya  karena ga pernah nuntut buat beliin tas Hermes. @jokowi,"['paguyuban', 'suamisuami', 'gaji', 'paspasan', 'ucap', 'jelas', 'ada', 'tidak', 'pernah', 'tuntut', 'buat', 'belikan', 'tas', 'hermes', 'jokowi']",paguyuban suamisuami gaji paspasan ucap jelas ada tidak pernah tuntut buat belikan tas hermes jokowi
netral,"Dampak ekonomi tdk langsung Asian Games 2018, meliputi tahap konstruksi, operasional penyelenggaraan &kedatangan pengunjung, berkontribusi pd pertumbuhan PDB dan nilai tambah ekonomi, peningkatan output sektor, penyerapan tenaga kerja, & peningkatan pendapatan riil. Jokowi hebat!","['dampak', 'ekonomi', 'tidak', 'langsung', 'asian', 'games', '2018', 'liput', 'tahap', 'konstruksi', 'operasional', 'selenggara', 'datang', 'unjung', 'kontribusi', 'tumbuh', 'pdb', 'nilai', 'tambah', 'ekonomi', 'tingkat', 'output', 'sektor', 'serap', 'tenaga', 'kerja', 'tingkat', 'dapat', 'riil', 'jokowi', 'hebat']",dampak ekonomi tidak langsung asian games 2018 liput tahap konstruksi operasional selenggara datang unjung kontribusi tumbuh pdb nilai tambah ekonomi tingkat output sektor serap tenaga kerja tingkat dapat riil jokowi hebat
netral,"Kan ga hanya gaji aja yg d terima,mungkin ada insentif laen dari kegiatan pak @jokowi ,yang jelas udah d klarifikasi kpk.jadi anda ga yakin sama sistem pengujian lhkpn yg d lakukan oleh kpk?","['kan', 'tidak', 'gaji', 'terimamungkin', 'insentif', 'giat', 'pak', 'jokowi', 'jelas', 'klarifikasi', 'kpk', 'jadi', 'tidak', 'yakin', 'sama', 'sistem', 'uji', 'lhkpn', 'laku', 'kpk']",kan tidak gaji terimamungkin insentif giat pak jokowi jelas klarifikasi kpk jadi tidak yakin sama sistem uji lhkpn laku kpk
positif,Pakdeku juarakkk!! Presiden aja bisa menghargai para driver..lahh trus cs rese yg bukan sapa2 knp suka meremehkann driver? Tapi ga smua jg cs bgtu,"['pakde', 'juarakkk', 'presiden', 'harga', 'driver', 'lah', 'lalu', 'cs', 'rese', 'bukan', 'sapa', 'suka', 'meremehkann', 'driver', 'tidak', 'semua', 'cs']",pakde juarakkk presiden harga driver lah lalu cs rese bukan sapa suka meremehkann driver tidak semua cs
negatif,topik debat kan tentang ekonomi dan kesejahteraan sosial keuangan dan investasi serta perdagangan dan industri ... trs kenapa malah pk Jokowi membahas  e - sports ... game sprt mobile legend dota 2 sama pubg  itu game yg membuat anak2 kita terlena,"['topik', 'debat', 'kan', 'ekonomi', 'sejahtera', 'sosial', 'uang', 'investasi', 'dagang', 'industri', 'terus', 'bahkan', 'jahat', 'kelamin', 'jokowi', 'bahas', 'e', 'sports', 'game', 'mobile', 'legend', 'dota', '2', 'sama', 'pubg', 'game', 'buat', 'anak', 'lena']",topik debat kan ekonomi sejahtera sosial uang investasi dagang industri terus bahkan jahat kelamin jokowi bahas e sports game mobile legend dota 2 sama pubg game buat anak lena
negatif,Kasihan ya hari gini baru bicara harga2,"['kasihan', 'iya', 'hari', 'begini', 'baru', 'bicara', 'harga2']",kasihan iya hari begini baru bicara harga2
positif,TGB menilai Jokowi bahwa pada Debat kemarin Jokowi kuasai soal bagaimama membangun ekonomi kreatif.  #01JokowiAmin #JokowiMenangTotalDebat @AlvinoLulu @Barna_byo @katerinaKwari https://bisnis.tempo.co/read/1195571/tgb-nilai-jokowi-menguasai-soal-ekonomi-kreatifÂ â€¦,"['tgb', 'nilai', 'jokowi', 'debat', 'kemarin', 'jokowi', 'kuasa', 'soal', 'bagaimama', 'bangun', 'ekonomi', 'kreatif', 'alvinolulu', 'barnabyo', 'katerinakwari']",tgb nilai jokowi debat kemarin jokowi kuasa soal bagaimama bangun ekonomi kreatif alvinolulu barnabyo katerinakwari
positif,"#bukansalahbapak  Ditanya soal Kritik Prabowo, AHY Minta Hargai Pemimpin Pendahulu  http://kom.ps/AFzEo4Â ","['tanya', 'soal', 'kritik', 'prabowo', 'ahy', 'minta', 'harga', 'pimpin', 'dahulu']",tanya soal kritik prabowo ahy minta harga pimpin dahulu
negatif,Debat: Prabowo Mau Belajar Ekonomi Ke Tiongkok! Lupa Kalau Kampret Benci China  http://bit.ly/2P6pDOZÂ ,"['debat', 'prabowo', 'mau', 'ajar', 'ekonomi', 'tiongkok', 'lupa', 'kalau', 'sial', 'benci', 'china']",debat prabowo mau ajar ekonomi tiongkok lupa kalau sial benci china
netral,Orang2 yg benar faham ekonomi yg akan membantu Pak @prabowo  https://youtu.be/C1kniFZ9VpEÂ ,"['orang', 'benar', 'paham', 'ekonomi', 'bantu', 'pak', 'prabowo']",orang benar paham ekonomi bantu pak prabowo
negatif,"Gimana mau main Mobile legend kalo paket aja nggak kebeli krn ekonomi lemah. Jawaban Prabowo Cerdas dan kena tepat ke Jantung masalah,kalo Jae kasih pertanyaan biar dianggap dia manusia millenial padahal dungu nggak ketulungan...hehhehee...","['bagaimana', 'mau', 'main', 'mobile', 'legend', 'kalau', 'paket', 'tidak', 'kebel', 'ekonomi', 'lemah', 'jawab', 'prabowo', 'cerdas', 'kena', 'tepat', 'jantung', 'masalahkalo', 'jae', 'kasih', 'tanya', 'biar', 'anggap', 'manusia', 'millenial', 'padahal', 'dungu', 'tidak', 'ketulungan', 'hehhehee']",bagaimana mau main mobile legend kalau paket tidak kebel ekonomi lemah jawab prabowo cerdas kena tepat jantung masalahkalo jae kasih tanya biar anggap manusia millenial padahal dungu tidak ketulungan hehhehee
negatif,Goblog aje ampe ada yg mempermasalahin Moba PUBG... pak @jokowi cmn ngikutin trend utk milenial utk lbih bisa dipahamin.. kan kalo liat full videonya dia lg bahas EKONOMI DIGITAL.. ESPORT itu salah satunya... PUBG ama MOBA tuh bagian dri ESPORT.. wakkaakaka,"['goblog', 'mempermasalahin', 'moba', 'pubg', 'pak', 'jokowi', 'ikut', 'trend', 'milenial', 'lebih', 'dipahamin', 'kan', 'kalau', 'lihat', 'full', 'video', 'bahas', 'ekonomi', 'digital', 'esport', 'salah', 'satu', 'pubg', 'sama', 'moba', 'tuh', 'bagi', 'esport', 'wakkaakaka']",goblog mempermasalahin moba pubg pak jokowi ikut trend milenial lebih dipahamin kan kalau lihat full video bahas ekonomi digital esport salah satu pubg sama moba tuh bagi esport wakkaakaka
negatif,"Setelah itu saya nyerocos tentang Profesor Sumitro Joyohadikusumo, Ekonomi Benteng, Orde Lama, Orde Baru, karier militer Pak Prabowo, soal beliau jadi menantu Pak Harto, dan semacamnya. Tetangga kamar kaget saat saya bilang Pak Sumitro itu keturunan Tionghoa dan non-muslim...","['cerocos', 'profesor', 'sumitro', 'joyohadikusumo', 'ekonomi', 'benteng', 'orde', 'lama', 'orde', 'baru', 'karier', 'militer', 'pak', 'prabowo', 'soal', 'beliau', 'jadi', 'menantu', 'pak', 'harto', 'macam', 'tetangga', 'kamar', 'kaget', 'bilang', 'pak', 'sumitro', 'turun', 'tionghoa', 'nonmuslim']",cerocos profesor sumitro joyohadikusumo ekonomi benteng orde lama orde baru karier militer pak prabowo soal beliau jadi menantu pak harto macam tetangga kamar kaget bilang pak sumitro turun tionghoa nonmuslim
positif,"Senang,gembira lihat lautan manusia kemarin tepatnya tgl 13 April 2019,pintar cinta damai bukan provokator dan tdk muda percaya Hoax  mendukung pak @jokowi   Jgn Golput.PANCASILA&TOLERANSI,NKRI HARGA MATI #KonserPutihBerSATU pic.twitter.com/U18oPok30w","['senanggembira', 'lihat', 'laut', 'manusia', 'kemarin', 'tepat', 'tanggal', '13', 'april', '2019pintar', 'cinta', 'damai', 'bukan', 'provokator', 'tidak', 'muda', 'percaya', 'isu', 'bohong', 'dukung', 'pak', 'jokowi', 'jangan', 'golong', 'putih', 'pancasilatoleransinkri', 'harga', 'mati']",senanggembira lihat laut manusia kemarin tepat tanggal 13 april 2019pintar cinta damai bukan provokator tidak muda percaya isu bohong dukung pak jokowi jangan golong putih pancasilatoleransinkri harga mati
negatif,"Anjing aja lebih punya harga diri dari pada kalia @projo45 yg rela nyuri/maling cm demi terlihat rame,,, apa pak @jokowi  yg instruksikan  kalian spy menghalalka  segala cara..!?","['anjing', 'lebih', 'punya', 'harga', 'diri', 'kalia', 'projo45', 'rela', 'nyurimaling', 'cuma', 'lihat', 'ramai', 'apa', 'pak', 'jokowi', 'instruksi', 'kalian', 'menghalalka', 'segala', 'cara']",anjing lebih punya harga diri kalia projo45 rela nyurimaling cuma lihat ramai apa pak jokowi instruksi kalian menghalalka segala cara
negatif,Tetapi tetap tdk bisa kebijakan ekonomi nasional hanya di dasarkan pada 1 - 2 orang yg mengeluh harga2 mahal. Mau di bawa ke mana ekonomi negara ini..?,"['tetap', 'tidak', 'bijak', 'ekonomi', 'nasional', 'dasar', '1', '2', 'orang', 'keluh', 'harga2', 'mahal', 'mau', 'bawa', 'mana', 'ekonomi', 'negara']",tetap tidak bijak ekonomi nasional dasar 1 2 orang keluh harga2 mahal mau bawa mana ekonomi negara
positif,"Kadang bingung juga, mereka2 yg tak bersyukur ada infrastruktur jembatan mempermudah kegiatan perekonomian di timur indonesia  Preaiden kalo cuma mau menang bangun aja di jawa selesai dpt dukung banyak Tapi jokowi menjalan pembangunan keadilan seluruh rakyat #IndonesiaOptimis","['kadang', 'bingung', 'mereka', 'tidak', 'syukur', 'infrastruktur', 'jembatan', 'mudah', 'giat', 'ekonomi', 'timur', 'indonesia', 'preaiden', 'kalau', 'cuma', 'mau', 'menang', 'bangun', 'jawa', 'selesai', 'dukung', 'banyak', 'jokowi', 'jalan', 'bangun', 'adil', 'seluruh', 'rakyat']",kadang bingung mereka tidak syukur infrastruktur jembatan mudah giat ekonomi timur indonesia preaiden kalau cuma mau menang bangun jawa selesai dukung banyak jokowi jalan bangun adil seluruh rakyat
netral,"Pak, liat ini pak.  @jokowi @prabowo @Chilli_Pari @sandiuno @kaesangp @LuhutBinsar  https://youtu.be/qlB7vg4I-ToÂ    Tolong digajih team yg bikin film dokumenter sekeren iniðŸ˜­  Bikin nangis dan ngerasa bersalah banget sering lupa cabut casan dan matiin lampu :((","['pak', 'lihat', 'pak', 'jokowi', 'prabowo', 'chillipari', 'sandiuno', 'kaesangp', 'luhutbinsar', 'gajih', 'team', 'bikin', 'film', 'dokumenter', 'keren', 'bikin', 'menang', 'rasa', 'salah', 'sekali', 'sering', 'lupa', 'pergi', 'cas', 'matiin', 'lampu']",pak lihat pak jokowi prabowo chillipari sandiuno kaesangp luhutbinsar gajih team bikin film dokumenter keren bikin menang rasa salah sekali sering lupa pergi cas matiin lampu
netral,"Namun, sebagai anak seorang ahli ekonomi, fenomena ransel besar Prabowo juga sesuatu yang wajar bagi Yunus. prabowo sandiuno #PrabowoSandi #IndonesiaMenang #IndonesiaAdilMakmur","['anak', 'orang', 'ahli', 'ekonomi', 'fenomena', 'ransel', 'besar', 'prabowo', 'wajar', 'yunus', 'prabowo', 'sandiuno']",anak orang ahli ekonomi fenomena ransel besar prabowo wajar yunus prabowo sandiuno
positif,"Ini penutup debat kemaren, pak Prabowo dan pak Sandi akan memberi sepenuhnya gaji mereka sbg presiden n wakil presiden untuk membantu rakyat miskin. Tp sebelum debat ini juga, pendukung PADI sih udah pd tau. Ya ga ya ga???  http://dlvr.it/R2lf3yÂ ","['tutup', 'debat', 'kemarin', 'pak', 'prabowo', 'pak', 'sandi', 'beri', 'sepenuh', 'gaji', 'presiden', 'wakil', 'presiden', 'bantu', 'rakyat', 'miskin', 'debat', 'dukung', 'padi', 'sih', 'tahu', 'iya', 'tidak', 'iya', 'tidak']",tutup debat kemarin pak prabowo pak sandi beri sepenuh gaji presiden wakil presiden bantu rakyat miskin debat dukung padi sih tahu iya tidak iya tidak
negatif,Masak kebijakan ekonomi nasional hanya di dasarkan pada keluhan 1 - 2 orang harga mahal..? Mau dibawa kemana ekonomi negara ini..? ðŸ˜,"['masak', 'bijak', 'ekonomi', 'nasional', 'dasar', 'keluh', '1', '2', 'orang', 'harga', 'mahal', 'mau', 'bawa', 'ekonomi', 'negara']",masak bijak ekonomi nasional dasar keluh 1 2 orang harga mahal mau bawa ekonomi negara
positif,Beneran itu paling kocak kemaren..ditambah lagi pas uno diajarin ekonomi makro ama pak Jokowi..anjaaay lulusan summa cum laude diajarin ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜… tamat dah itu pasangan 02 ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…,"['benar', 'paling', 'kocak', 'kemarin', 'tambah', 'pas', 'uno', 'ajar', 'ekonomi', 'makro', 'sama', 'pak', 'jokowi', 'anjaaay', 'lulus', 'summa', 'cum', 'laude', 'ajar', 'tamat', 'deh', 'pasang', '02']",benar paling kocak kemarin tambah pas uno ajar ekonomi makro sama pak jokowi anjaaay lulus summa cum laude ajar tamat deh pasang 02
positif,"Jokowi lebih cepat merespon perubahan & tuntutan jaman, merangkul semua kalangan & hasil kerjanya nyata. Sentuhan jokowi mengangkat harga diri bangsa dimata dunia. Memilih jokowi, melawan khilafah & preman brjubah yg menjual agama u/ takut2i rakyat","['jokowi', 'lebih', 'cepat', 'merespon', 'ubah', 'tuntut', 'jaman', 'rangkul', 'semua', 'kalang', 'hasil', 'kerja', 'nyata', 'sentuh', 'jokowi', 'angkat', 'harga', 'diri', 'bangsa', 'mata', 'dunia', 'pilih', 'jokowi', 'lawan', 'khilafah', 'preman', 'brjubah', 'jual', 'agama', 'kamu', 'takut2i', 'rakyat']",jokowi lebih cepat merespon ubah tuntut jaman rangkul semua kalang hasil kerja nyata sentuh jokowi angkat harga diri bangsa mata dunia pilih jokowi lawan khilafah preman brjubah jual agama kamu takut2i rakyat
netral,"Boleh. Ketemuan ya kita? Berapa nomor whatsapp ente? Saya di Pebayuran, Bekasi. Petani di Pebayuran ga ada masalah. Harga fluktuatif, normal. Kisaran 4.200 sampai 4.800 per kilo untuk gabah kering.","['ketemu', 'iya', 'berapa', 'nomor', 'whatsapp', 'bayur', 'bekas', 'tani', 'bayur', 'tidak', 'masalah', 'harga', 'fluktuatif', 'normal', 'kisar', '4', '200', '4', '800', 'per', 'kilo', 'gabah', 'kering']",ketemu iya berapa nomor whatsapp bayur bekas tani bayur tidak masalah harga fluktuatif normal kisar 4 200 4 800 per kilo gabah kering
netral,Ada berapa jumlh buku sale  brap harganya@FaldoMaldini@prabowo tolong,"['berapa', 'jumlh', 'buku', 'sale', 'brap', 'harganyafaldomaldiniprabowo']",berapa jumlh buku sale brap harganyafaldomaldiniprabowo
negatif,Ternyata omm wowo ga mahir ekonomi Sandi kan pengusaha masa ga tw begituan.. Mw dibawa kemana rakyat nanti hny diteriakin dg ilusi,"['nyata', 'omm', 'wowo', 'tidak', 'mahir', 'ekonomi', 'sandi', 'kan', 'usaha', 'masa', 'tidak', 'tahu', 'begitu', 'now', 'watching', 'bawa', 'rakyat', 'diteriakin', 'ilusi']",nyata omm wowo tidak mahir ekonomi sandi kan usaha masa tidak tahu begitu now watching bawa rakyat diteriakin ilusi
negatif,"Sandi Uno bicara soal ekonomi global yg buat contoh Sample Ibu Murji'ah sama Ibu Paijem dari Tegal hahahhahaha,,,,,","['sandi', 'uno', 'bicara', 'soal', 'ekonomi', 'global', 'buat', 'contoh', 'sample', 'ibu', 'murjiah', 'sama', 'ibu', 'paijem', 'tegal', 'hahahhahaha']",sandi uno bicara soal ekonomi global buat contoh sample ibu murjiah sama ibu paijem tegal hahahhahaha
netral,"Dibukuny konsep prabowo : tidak impor dan hutang luar negeri yg jor2an, meningkat rasio pajak,  menutup kran2 kebocoran apbn, industrialisasi, meningkatkn gaji pns dan penegak hukum utk mengurangi korupsi, memperkuat KPK, dsb","['dibukuny', 'konsep', 'prabowo', 'tidak', 'impor', 'hutang', 'luar', 'negeri', 'jor2an', 'tingkat', 'rasio', 'pajak', 'tutup', 'kran2', 'bocor', 'apbn', 'industrialisasi', 'meningkatkn', 'gaji', 'pns', 'tegak', 'hukum', 'kurang', 'korupsi', 'kuat', 'kpk', 'bagai']",dibukuny konsep prabowo tidak impor hutang luar negeri jor2an tingkat rasio pajak tutup kran2 bocor apbn industrialisasi meningkatkn gaji pns tegak hukum kurang korupsi kuat kpk bagai
negatif,"Sebetulnya Pak Prabowo mau bilang, Lu jadi presiden 4,5 tahun ngapain aje? Gitu lo mbak! Polos banget! Pertmbuhan ekonomi meroket Dari 7% jadi 5%. Hebat ga tuh?","['pak', 'prabowo', 'mau', 'bilang', 'kamu', 'jadi', 'presiden', '45', 'tahun', 'sedang', 'apa', 'kamu', 'mbak', 'polos', 'sekali', 'pertmbuhan', 'ekonomi', 'roket', '7', 'jadi', '5', 'hebat', 'tidak', 'tuh']",pak prabowo mau bilang kamu jadi presiden 45 tahun sedang apa kamu mbak polos sekali pertmbuhan ekonomi roket 7 jadi 5 hebat tidak tuh
netral,*sementara itu*   Prabowo tadi malam memuji & menyarankan agar Indo meniru Tiongkok dalam perekonomian & pemberantasan kemiskinan.  https://twitter.com/tempodotco/status/1117317831421353984Â â€¦,"['prabowo', 'tadi', 'malam', 'puji', 'saran', 'indonesia', 'tiru', 'tiongkok', 'ekonomi', 'berantas', 'miskin']",prabowo tadi malam puji saran indonesia tiru tiongkok ekonomi berantas miskin
negatif,"Jokowi ikut ikutan saya akan mewakafkan diri saya untuk negara.   Heleh, wakaf tuh gak ambil gaji. Jangan kan gak ambil gaji. Wong kampanye aja masih minta di gaji negara","['jokowi', 'ikut', 'ikut', 'wakaf', 'diri', 'negara', 'heleh', 'wakaf', 'tuh', 'tidak', 'ambil', 'gaji', 'jangan', 'kan', 'tidak', 'ambil', 'gaji', 'wong', 'kampanye', 'minta', 'gaji', 'negara']",jokowi ikut ikut wakaf diri negara heleh wakaf tuh tidak ambil gaji jangan kan tidak ambil gaji wong kampanye minta gaji negara
positif,"Best quote of the day: Dengan Mencoblos Prabowo Sandi, Anda Telah Berinfaq Selama 5 Tahun, Karena Gaji Mereka Disumbangkan Pada Kaum Dhuafa & Anak Yatim #prabowosandimenang #UASdifitnahKejiDanBrutal","['best', 'quote', 'of', 'the', 'day', 'coblos', 'prabowo', 'sandi', 'berinfaq', 'lama', '5', 'tahun', 'gaji', 'sumbang', 'kaum', 'dhuafa', 'anak', 'yatim']",best quote of the day coblos prabowo sandi berinfaq lama 5 tahun gaji sumbang kaum dhuafa anak yatim
negatif,"18M, 1M, 8M, hhhhhh Oke deh gini, prestasi bapak sandi dalam membangkitkan ekonomi secara signifikan apa? Solusi bapak prabowo mengentaskan pendidikan orang orang bodoh seperti apa? Kalau memang pemerintahan sekarang buruk,sistem apa yang harus diubah? Satu aja dan solusi.  https://twitter.com/edwan1479/status/1117396332900052992Â â€¦","['18m', '1m', '8m', 'hhhhhh', 'oke', 'deh', 'begini', 'prestasi', 'bapak', 'sandi', 'bangkit', 'ekonomi', 'signifikan', 'apa', 'solusi', 'bapak', 'prabowo', 'entas', 'didik', 'orang', 'orang', 'bodoh', 'apa', 'kalau', 'memang', 'perintah', 'sekarang', 'buruksistem', 'apa', 'ubah', 'satu', 'solusi']",18m 1m 8m hhhhhh oke deh begini prestasi bapak sandi bangkit ekonomi signifikan apa solusi bapak prabowo entas didik orang orang bodoh apa kalau memang perintah sekarang buruksistem apa ubah satu solusi
netral,"TIDAK impor hal yang MUDAH. Imbasnya harga SEMBAKO naik. Ente bakal kaing2 karena harga mahal. Semakin banyak produksi, harga jual jadi murah, yang rugi petani juga. Bukan jumlahnya yg digenjot, tapi link ke pembeli yg perlu diperbaiki. Maka perlunya melek teknologi.","['tidak', 'impor', 'mudah', 'imbas', 'harga', 'sembilan', 'bahan', 'pokok', 'naik', 'bakal', 'kaing2', 'harga', 'mahal', 'makin', 'banyak', 'produksi', 'harga', 'jual', 'jadi', 'murah', 'rugi', 'tani', 'bukan', 'jumlah', 'genjot', 'link', 'beli', 'perlu', 'baik', 'perlu', 'melek', 'teknologi']",tidak impor mudah imbas harga sembilan bahan pokok naik bakal kaing2 harga mahal makin banyak produksi harga jual jadi murah rugi tani bukan jumlah genjot link beli perlu baik perlu melek teknologi
